country_name,pub_count,population,land_area_km2,independence_year,is_territory,territory_note,years_independent,pub_per_million_pop,pub_per_10k_km2,pub_per_year_independent
Brazil,54796,213562666,8358140,1822,False,,202,256.6,65.56,271.3
Mexico,51364,132997658,1943950,1821,False,,203,386.2,264.22,253.0
Argentina,39183,46003734,2736690,1816,False,,208,851.7,143.18,188.4
Colombia,32696,53936226,1109500,1810,False,,214,606.2,294.69,152.8
Chile,22016,19945850,743532,1818,False,,206,1103.8,296.1,106.9
Peru,19756,34922148,1280000,1821,False,,203,565.7,154.34,97.3
Venezuela,12963,28633711,882050,1811,False,,213,452.7,146.96,60.9
Cuba,10730,10871798,103800,1902,False,,122,987.0,1033.72,88.0
Ecuador,8935,18444506,248360,1830,False,,194,484.4,359.76,46.1
Bolivia,7244,12749291,1083300,1825,False,,199,568.2,66.87,36.4
Uruguay,7063,3519595,175020,1825,False,,199,2006.8,403.55,35.5
Puerto Rico,5288,3165100,8870,0,True,Unincorporated US territory,0,1670.7,5961.67,0.0
Dominican Republic,3084,11609500,48320,1844,False,,180,265.6,638.25,17.1
Paraguay,2859,7521549,397300,1811,False,,213,380.1,71.96,13.4
Costa Rica,2758,5213374,51060,1821,False,,203,529.0,540.15,13.6
Guatemala,2613,18967978,107160,1821,False,,203,137.8,243.84,12.9
Trinidad and Tobago,1519,1534937,5130,1962,False,,62,989.6,2961.01,24.5
Nicaragua,1293,7413619,120340,1821,False,,203,174.4,107.45,6.4
El Salvador,1290,6344705,20720,1821,False,,203,203.3,622.59,6.4
Panama,1259,4468087,74340,1903,False,,121,281.8,169.36,10.4
Honduras,1247,11184760,111890,1821,False,,203,111.5,111.45,6.1
Jamaica,848,2835380,10830,1962,False,,62,299.1,783.01,13.7
Barbados,214,282467,430,1966,False,,58,757.6,4976.74,3.7
Guyana,187,799613,196850,1966,False,,58,233.9,9.5,3.2
Saint Lucia,136,180887,610,1979,False,,45,751.9,2229.51,3.0
Guadeloupe,120,395700,1628,0,True,French overseas department,0,303.3,737.1,0.0
French Guiana,112,308745,82200,0,True,French overseas department,0,362.8,13.63,0.0
Martinique,95,349925,1060,0,True,French overseas department,0,271.5,896.23,0.0
Belize,73,436083,22810,1981,False,,43,167.4,32.0,1.7
Suriname,49,630355,156000,1975,False,,49,77.7,3.14,1.0
United States Virgin Islands,34,100091,346,0,True,US territory,0,339.7,982.66,0.0
Cayman Islands,8,68706,264,0,True,British overseas territory,0,116.4,303.03,0.0
British Virgin Islands,1,30421,151,0,True,British overseas territory,0,32.9,66.23,0.0
