decade,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Trinidad and Tobago,Uruguay,Venezuela
1900,706,68,1444,347,167,64,181,19,103,23,31,20,24,736,21,63,31,277,130,15,102,164
1910,503,40,781,167,68,9,199,0,42,12,5,5,1,631,2,48,17,92,55,5,94,26
1920,739,54,627,191,82,31,251,13,40,7,25,5,3,506,4,75,11,145,29,5,110,41
1930,1047,44,915,381,307,33,256,19,150,9,60,16,6,1010,5,44,19,196,67,8,174,64
1940,1976,99,1504,331,295,30,342,41,146,14,83,19,12,1856,24,46,15,371,79,11,261,181
1950,1882,181,2436,490,529,79,265,49,197,68,112,31,25,1999,22,103,29,532,120,29,340,450
1960,5015,562,9240,1710,1857,323,520,112,595,132,473,83,72,3982,78,140,163,1643,305,33,1019,1817
1970,4109,436,9161,2010,2176,343,410,168,530,108,135,123,91,4001,104,123,180,2576,504,98,655,1941
1980,5221,408,10362,2814,2989,415,795,273,986,109,160,120,69,5715,207,103,624,3371,634,564,724,1574
1990,4260,1092,5701,2232,3077,445,1158,500,918,158,387,276,110,7839,274,122,231,2560,1205,447,832,2367
2000,4949,2287,4367,2588,4237,389,2951,725,1865,223,420,268,135,5976,230,107,1218,3117,914,163,975,2478
2010,5629,1323,4798,5227,10538,381,2501,821,1880,304,450,196,88,10215,243,188,263,3175,704,108,1031,1425
2020,2603,603,1901,3076,6207,189,422,329,1379,103,220,68,66,4494,63,57,36,1436,335,21,642,282
