decade,Argentina,Bolivia,Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Jamaica,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,Trinidad and Tobago,Uruguay,Venezuela
1900,537,110,1113,263,167,55,238,27,116,30,38,71,38,29,737,50,158,49,295,216,22,74,168
1910,415,64,667,141,89,29,106,14,48,14,13,52,8,7,733,14,148,33,131,73,6,75,48
1920,434,82,500,154,88,24,163,20,40,8,29,51,9,16,569,16,81,41,187,40,4,92,60
1930,452,48,651,137,194,23,143,30,88,14,84,70,40,12,829,31,57,42,226,88,5,104,83
1940,724,118,981,191,215,43,199,61,105,23,100,84,25,19,949,31,49,64,354,149,12,119,159
1950,660,205,1304,261,340,66,193,57,143,51,155,101,44,43,1034,35,105,62,403,159,32,116,329
1960,1781,497,4194,962,1223,154,870,170,395,72,297,102,84,101,2314,95,140,160,1343,340,62,352,1186
1970,1867,495,5701,1680,1483,179,794,201,383,124,234,186,154,151,3073,151,406,218,2098,602,130,400,1112
1980,2940,511,6002,1871,2020,262,1015,276,783,443,387,275,233,177,4440,820,324,447,2843,670,444,464,1010
1990,2734,1073,4636,1537,2230,318,1769,453,743,395,604,555,304,223,7169,513,328,234,2447,1094,383,530,1396
2000,2985,2106,4116,1778,3070,346,2501,592,1391,294,632,369,298,213,6057,354,237,741,2335,837,213,643,1609
2010,3087,1382,4660,2543,5916,347,2618,680,1345,396,711,656,268,240,8944,339,307,291,2511,687,150,716,1361
2020,1291,561,2007,1312,3380,136,753,259,688,137,261,284,96,108,3631,136,86,75,1145,406,44,366,422
