country_name,pub_count
Brazil,54796
Mexico,51364
Argentina,39183
Colombia,32696
Chile,22016
Peru,19756
Venezuela,12963
Cuba,10730
Ecuador,8935
Bolivia,7244
Uruguay,7063
Puerto Rico,5288
Dominican Republic,3084
Paraguay,2859
Costa Rica,2758
Guatemala,2613
Trinidad and Tobago,1519
Nicaragua,1293
El Salvador,1290
Panama,1259
Honduras,1247
Jamaica,848
Barbados,214
Guyana,187
Saint Lucia,136
Guadeloupe,120
French Guiana,112
Martinique,95
Belize,73
Suriname,49
United States Virgin Islands,34
Cayman Islands,8
British Virgin Islands,1
