country_name,subject_count
Mexico,43196
Brazil,38648
Colombia,20669
Argentina,20476
Peru,16746
Chile,13300
Cuba,11936
Venezuela,9197
Bolivia,7366
Ecuador,6393
Puerto Rico,5579
Uruguay,4194
Guatemala,3637
Haiti,3299
Dominican Republic,2887
Nicaragua,2724
Panama,2564
Paraguay,2552
Costa Rica,2042
El Salvador,2035
Jamaica,1846
Honduras,1641
Trinidad and Tobago,1556
Guyana,857
Barbados,537
Belize,485
Suriname,398
Bahamas,391
United States Virgin Islands,308
Martinique,287
Grenada,238
French Guiana,208
Guadeloupe,195
Dominica,165
Antigua and Barbuda,163
Saint Lucia,156
Saint Kitts and Nevis,100
Saint Vincent and the Grenadines,95
Cayman Islands,69
Curaçao,49
British Virgin Islands,49
Aruba,41
Turks and Caicos Islands,28
